link,date,title
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-24-de-septiembre-de-2025?idiom=es,2025-09-24,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 24 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-23-de-septiembre-de-2025?idiom=es,2025-09-23,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 23 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-22-de-septiembre-de-2025?idiom=es,2025-09-22,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 22 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-quintana-roo?idiom=es,2025-09-21,Versión estenográfica. La transformación avanza en Quintana Roo
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-yucatan?idiom=es,2025-09-21,Versión estenográfica. La transformación avanza en Yucatán
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-campeche?idiom=es,2025-09-20,Versión estenográfica. La transformación avanza en Campeche
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-tabasco?idiom=es,2025-09-20,Versión estenográfica. La transformación avanza en Tabasco
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-chiapas?idiom=es,2025-09-20,Versión estenográfica. La transformación avanza en Chiapas
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-oaxaca?idiom=es,2025-09-19,Versión estenográfica. La transformación avanza en Oaxaca
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-guerrero?idiom=es,2025-09-19,Versión estenográfica. La transformación avanza en Guerrero
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-19-de-septiembre-de-2025?idiom=es,2025-09-19,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 19 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-mexico-canada-palacio-nacional?idiom=es,2025-09-18,Versión estenográfica. Conferencia de prensa México-Canadá. Palacio Nacional
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-18-de-septiembre-de-2025?idiom=es,2025-09-18,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 18 de septiembre de 2025
